SOC	Job Title	Employment Prospects	Annual Average Openings	"Entry Level Education Required
(per Bureau of Labor Statistics)"	"Work Experience Required
(per Bureau of Labor Statistics)"	"On-the-Job Training Required
(per Bureau of Labor Statistics)"	"Usual Education
Attained by Members of this Occupation*"
SocCode	JobTitle	Prospects	AnnualAvgOpenings	EntryEduLevel	ReqWorkExp	ReqJobTraining	AverageEduLevel
19-3022	Survey Researchers	Very Favorable	30	Bachelor's degree	None	None	Master's degree
19-3031	"Clinical, Counseling, and School Psychologists"	Very Favorable	280	Doctoral or professional degree	None	Internship/residency	Doctoral or professional degree
19-3039	"Psychologists, All Other"	Very Favorable	80	Master's degree	None	Internship/residency	Doctoral or professional degree
19-3051	Urban and Regional Planners	Favorable	20	Master's degree	None	None	Master's degree
19-3099	"Social Scientists and Related Workers, All Other"	Unfavorable	60	Bachelor's degree	None	None	Master's degree
19-4021	Biological Technicians	Favorable	20	Bachelor's degree	None	None	Associate's degree
19-4031	Chemical Technicians	Very Unfavorable	10	Associate's degree	None	Moderate-term on-the-job training	"Some college, no degree"
19-4061	Social Science Research Assistants	Favorable	110	Associate's degree	None	None	Bachelor's degree
19-4091	"Environmental Science and Protection Technicians, Including Health"	Very Favorable	30	Associate's degree	None	Moderate-term on-the-job training	Bachelor's degree
19-4099	"Life, Physical, and Social Science Technicians, All Other"	Favorable	130	Associate's degree	None	Moderate-term on-the-job training	Bachelor's degree
21-1011	Substance Abuse and Behavioral Disorder Counselors	Very Favorable	130	High school diploma or equivalent	None	Moderate-term on-the-job training	Master's degree
21-1012	"Educational, Guidance, School, and Vocational Counselors"	Very Favorable	250	Master's degree	None	None	Master's degree
21-1014	Mental Health Counselors	Very Favorable	120	Master's degree	None	Internship/residency	Master's degree
21-1015	Rehabilitation Counselors	Very Favorable	160	Master's degree	None	None	Master's degree
21-1019	"Counselors, All Other"	Very Favorable	30	Master's degree	None	None	Master's degree
21-1021	"Child, Family, and School Social Workers"	Very Favorable	420	Bachelor's degree	None	None	Master's degree
21-1022	Healthcare Social Workers	Very Favorable	260	Master's degree	None	None	Master's degree
21-1023	Mental Health and Substance Abuse Social Workers	Very Favorable	230	Bachelor's degree	None	None	Master's degree
21-1029	"Social Workers, All Other"	Favorable	120	Bachelor's degree	None	None	Master's degree
21-1091	Health Educators	Very Favorable	230	Bachelor's degree	None	None	Bachelor's degree
21-1093	Social and Human Service Assistants	Very Favorable	580	High school diploma or equivalent	None	Short-term on-the-job training	Associate's degree
21-1798	"Community and Social Service Specialists, All Other"	Very Favorable	260	Bachelor's degree	None	None	Bachelor's degree
21-2011	Clergy	Very Favorable	180	Bachelor's degree	None	Moderate-term on-the-job training	Master's degree
21-2021	"Directors, Religious Activities and Education"	Very Favorable	70	Bachelor's degree	1 to 5 years	None	Master's degree
23-1011	Lawyers	Very Favorable	1100	Doctoral or professional degree	None	None	Doctoral or professional degree
23-1012	Judicial Law Clerks	Very Unfavorable	10	Doctoral or professional degree	None	None	Bachelor's degree
23-1022	"Arbitrators, Mediators, and Conciliators"	Very Favorable	110	Bachelor's degree	1 to 5 years	Moderate-term on-the-job training	Doctoral or professional degree
23-2011	Paralegals and Legal Assistants	Very Favorable	470	Associate's degree	None	None	Bachelor's degree
23-2093	"Title Examiners, Abstractors, and Searchers"	Very Unfavorable	20	High school diploma or equivalent	None	Short-term on-the-job training	Bachelor's degree
25-1011	"Business Teachers, Postsecondary"	Very Favorable	80	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1021	"Computer Science Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1022	"Mathematical Science Teachers, Postsecondary"	Very Favorable	50	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1032	"Engineering Teachers, Postsecondary"	Very Favorable	40	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1042	"Biological Science Teachers, Postsecondary"	Very Favorable	30	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1051	"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"	Favorable	10	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1052	"Chemistry Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1054	"Physics Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1061	"Anthropology and Archeology Teachers, Postsecondary"	Very Favorable	10	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1062	"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1063	"Economics Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1065	"Political Science Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1066	"Psychology Teachers, Postsecondary"	Very Favorable	30	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1067	"Sociology Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1069	"Social Sciences Teachers, Postsecondary, All Other"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1071	"Health Specialties Teachers, Postsecondary"	Very Favorable	120	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1072	"Nursing Instructors and Teachers, Postsecondary"	Favorable	30	Master's degree	None	None	Doctoral or professional degree
25-1081	"Education Teachers, Postsecondary"	Very Favorable	50	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1111	"Criminal Justice and Law Enforcement Teachers, Postsecondary"	Favorable	Less than 10	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1112	"Law Teachers, Postsecondary"	Very Favorable	40	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1113	"Social Work Teachers, Postsecondary"	Very Favorable	20	Doctoral or professional degree	None	None	Doctoral or professional degree
25-1121	"Art, Drama, and Music Teachers, Postsecondary"	Very Favorable	180	Doctoral or professional degree	None	None	Doctoral or professional degree
