ID	TEXT	FAQ_RESPONSESOURCEID
634000	Unknown	5023
634001	Unknown	5023
634002	Unknown	5023
634003	Unknown	5023
634004	Unknown	5023
634005	Unknown	5023
634006	Unknown	5023
634007	Unknown	5023
634008	Unknown	5023
634009	Unknown	5023
634010	Unknown	5023
634011	Unknown	5023
634012	Unknown	5023
634013	Unknown	5023
634014	Unknown	5023
634015	Unknown	5023
634016	Unknown	5023
634017	Unknown	5023
634018	Unknown	5023
634019	Unknown	5023
634020	Unknown	5023
634021	Unknown	5023
634022	Unknown	5023
634023	Unknown	5023
634024	Unknown	5023
634025	Unknown	5023
634026	Unknown	5023
634027	Unknown	5023
634028	Unknown	5023
634029	Unknown	5023
634030	Unknown	5023
634031	Unknown	5023
634032	Unknown	5023
634033	Unknown	5023
634034	Unknown	5023
634035	Unknown	5023
634036	Unknown	5023
634037	Unknown	5023
634038	Unknown	5023
634039	Unknown	5023
634040	Unknown	5023
634041	Unknown	5023
634042	Unknown	5023
634043	Unknown	5023
634044	Unknown	5023
634045	Unknown	5023
634046	Unknown	5023
634047	Unknown	5023
634048	Unknown	5023
634049	Unknown	5023
634050	Unknown	5023
634051	Unknown	5023
634052	Unknown	5023
634053	Unknown	5023
634054	Unknown	5023
634055	Unknown	5023
634056	Unknown	5023
634057	Unknown	5023
634058	Unknown	5023
634059	Unknown	5023
634060	Unknown	5023
634061	Unknown	5023
634062	Unknown	5023
634063	Unknown	5023
634064	Unknown	5023
634065	Unknown	5023
634066	Unknown	5023
634067	Unknown	5023
634068	Unknown	5023
634069	Unknown	5023
634070	Unknown	5023
634071	Unknown	5023
634072	Unknown	5023
634073	Unknown	5023
634074	Unknown	5023
634075	Unknown	5023
634076	Unknown	5023
634077	Unknown	5023
634078	Unknown	5023
634079	Unknown	5023
634080	Unknown	5023
634081	Unknown	5023
634082	Unknown	5023
634083	Unknown	5023
634084	Unknown	5023
634085	Unknown	5023
634086	Unknown	5023
634087	Unknown	5023
634088	Unknown	5023
634089	Unknown	5023
634090	Unknown	5023
634091	Unknown	5023
634092	Unknown	5023
634093	Unknown	5023
634094	Unknown	5023
634095	Unknown	5023
634096	Unknown	5023
634097	Unknown	5023
634098	Unknown	5023
634099	Unknown	5023
634100	Unknown	5023
634101	Unknown	5023
634102	Unknown	5023
634103	Unknown	5023
634104	Unknown	5023
634105	Unknown	5023
634106	Unknown	5023
634107	Unknown	5023
634108	Unknown	5023
634109	Unknown	5023
634110	Unknown	5023
634111	Unknown	5023
634112	Unknown	5023
634113	Unknown	5023
634114	Unknown	5023
634115	Unknown	5023
634116	Unknown	5023
634117	Unknown	5023
634118	Unknown	5023
634119	Unknown	5023
634120	Unknown	5023
634121	Unknown	5023
634122	Unknown	5023
634123	Unknown	5023
634124	Unknown	5023
634125	Unknown	5023
634126	Unknown	5023
634127	Unknown	5023
634128	Unknown	5023
634129	Unknown	5023
634130	Unknown	5023
634131	Unknown	5023
634132	Unknown	5023
634133	Unknown	5023
634134	Unknown	5023
634135	Unknown	5023
634136	Unknown	5023
634137	Unknown	5023
634138	Unknown	5023
634139	Unknown	5023
634140	Unknown	5023
634141	Unknown	5023
634142	Unknown	5023
634143	Unknown	5023
634144	Unknown	5023
634145	Unknown	5023
634146	Unknown	5023
634147	Unknown	5023
634148	Unknown	5023
634149	Unknown	5023
634150	Unknown	5023
634151	Unknown	5023
634152	Unknown	5023
634153	Unknown	5023
634154	Unknown	5023
634155	Unknown	5023
634156	Unknown	5023
634157	Unknown	5023
634158	Unknown	5023
634159	Unknown	5023
634160	Unknown	5023
634161	Unknown	5023
634162	Unknown	5023
634163	Unknown	5023
634164	Unknown	5023
634165	Unknown	5023
634166	Unknown	5023
634167	Unknown	5023
634168	Unknown	5023
634169	Unknown	5023
634170	Unknown	5023
634171	Unknown	5023
634172	Unknown	5023
634173	Unknown	5023
634174	Unknown	5023
634175	Unknown	5023
634176	Unknown	5023
634177	Unknown	5023
634178	Unknown	5023
634179	Unknown	5023
634180	Unknown	5023
634181	Unknown	5023
634182	Unknown	5023
634183	Unknown	5023
634184	Unknown	5023
634185	Unknown	5023
634186	Unknown	5023
634187	Unknown	5023
634188	Unknown	5023
634189	Unknown	5023
634190	Unknown	5023
634191	Unknown	5023
634192	Unknown	5023
634193	Unknown	5023
634194	Unknown	5023
634195	Unknown	5023
634196	Unknown	5023
